Date,Actual,Predicted,Match
2025-03-24,1,1,True
2025-03-26,1,1,True
2025-04-02,1,1,True
2025-04-03,0,0,True
2025-04-04,0,0,True
2025-04-07,1,1,True
2025-04-08,0,0,True
2025-04-09,1,0,False
2025-04-11,1,1,True
2025-04-16,1,1,True
2025-04-22,0,0,True
2025-04-23,1,1,True
2025-05-02,1,1,True
2025-05-06,0,0,True
2025-05-08,0,0,True
2025-05-09,1,1,True
2025-05-12,0,0,True
2025-05-13,1,1,True
2025-05-14,1,1,True
2025-05-16,0,0,True
2025-05-21,0,0,True
2025-05-26,0,0,True
2025-05-27,0,0,True
2025-05-29,0,0,True
2025-06-02,1,1,True
2025-06-06,1,1,True
2025-06-09,1,1,True
2025-06-11,0,0,True
2025-06-13,1,1,True
2025-06-16,0,0,True
